Contaminant(Node);Sensor2(cgmo);score2(cgmo);Coverage2(cgmo);Sensor2(ev+cgmo);score2(ev+cgmo);Coverage2(ev+cgmo);Sensor3(cgmo);score3(cgmo);Coverage3(cgmo);Sensor3(ev+cgmo);score3(ev+cgmo);Coverage3(ev+cgmo);Sensor4(cgmo);score4(cgmo);Coverage4(cgmo);Sensor4(ev+cgmo);score4(ev+cgmo);Coverage4(ev+cgmo);Sensor5(cgmo);score5(cgmo);Coverage5(cgmo);Sensor5(ev+cgmo);score5(ev+cgmo);Coverage5(ev+cgmo)
1;[1, 2];[3.0350877192982457, 0.5219686384101847];100.00;[1, 2];[2.215913606267942, 0.04724380936476929];100.00;[1, 2, 3];[3.0350877192982457, 0.5219686384101847, 0.5219686384101847];100.00;[1, 2, 3];[2.215913606267942, 0.04724380936476929, 0.04724380936476929];100.00;[1, 2, 3, 4];[3.0350877192982457, 0.5219686384101847, 0.5219686384101847, 0.5219686384101847];100.00;[1, 2, 3, 4];[2.215913606267942, 0.04724380936476929, 0.04724380936476929, 0.04724380936476929];100.00;[1, 2, 3, 4, 5];[3.0350877192982457, 0.5219686384101847, 0.5219686384101847, 0.5219686384101847, 0.5219686384101847];100.00;[1, 2, 3, 4, 5];[2.215913606267942, 0.04724380936476929, 0.04724380936476929, 0.04724380936476929, 0.04724380936476929];100.00
2;[2, 3];[0.9333333333333333, 0.9333333333333333];5.17;[2, 3];[0.38103168557587397, 0.38103168557587397];5.17;[2, 3, 4];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[2, 3, 4];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17;[2, 3, 4];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[2, 3, 4];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17;[2, 3, 4];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[2, 3, 4];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17
3;[3, 4];[0.9333333333333333, 0.9333333333333333];5.17;[3, 4];[0.38103168557587397, 0.38103168557587397];5.17;[3, 4, 5];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[3, 4, 5];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17;[3, 4, 5];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[3, 4, 5];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17;[3, 4, 5];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[3, 4, 5];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17
4;[19, 4];[0.9333333333333333, 0.9333333333333333];5.17;[19, 4];[0.38103168557587397, 0.38103168557587397];5.17;[19, 4, 5];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[19, 4, 5];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17;[19, 4, 5];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[19, 4, 5];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17;[19, 4, 5];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[19, 4, 5];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17
5;[5];[2.0];1.72;[5];[1.4142135623730951];1.72;[5];[2.0];1.72;[5];[1.4142135623730951];1.72;[5];[2.0];1.72;[5];[1.4142135623730951];1.72;[5];[2.0];1.72;[5];[1.4142135623730951];1.72
6;[44, 6];[1.1666666666666665, 1.1666666666666665];3.45;[44, 6];[0.5833334084877364, 0.5833334084877364];3.45;[44, 6];[1.1666666666666665, 1.1666666666666665];3.45;[44, 6];[0.5833334084877364, 0.5833334084877364];3.45;[44, 6];[1.1666666666666665, 1.1666666666666665];3.45;[44, 6];[0.5833334084877364, 0.5833334084877364];3.45;[44, 6];[1.1666666666666665, 1.1666666666666665];3.45;[44, 6];[0.5833334084877364, 0.5833334084877364];3.45
7;[31, 6];[0.9333333333333333, 0.9333333333333333];5.17;[31, 6];[0.38103168557587397, 0.38103168557587397];5.17;[31, 6, 7];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[31, 6, 7];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17;[31, 6, 7];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[31, 6, 7];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17;[31, 6, 7];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[31, 6, 7];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17
8;[7, 8];[0.7555555555555555, 0.7555555555555555];8.62;[7, 8];[0.23892777385624928, 0.23892777385624928];8.62;[7, 8, 9];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[7, 8, 9];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62;[7, 8, 9, 10];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[7, 8, 9, 10];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62;[7, 8, 9, 10, 26];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[7, 8, 9, 10, 26];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62
9;[11, 39];[1.1666666666666665, 1.1666666666666665];3.45;[11, 39];[0.5833334084877364, 0.5833334084877364];3.45;[11, 39];[1.1666666666666665, 1.1666666666666665];3.45;[11, 39];[0.5833334084877364, 0.5833334084877364];3.45;[11, 39];[1.1666666666666665, 1.1666666666666665];3.45;[11, 39];[0.5833334084877364, 0.5833334084877364];3.45;[11, 39];[1.1666666666666665, 1.1666666666666665];3.45;[11, 39];[0.5833334084877364, 0.5833334084877364];3.45
10;[2, 3];[0.5284743991640544, 0.5284743991640544];75.86;[2, 3];[0.05633539848152513, 0.05633539848152513];75.86;[2, 3, 4];[0.5284743991640544, 0.5284743991640544, 0.5284743991640544];75.86;[2, 3, 4];[0.05633539848152513, 0.05633539848152513, 0.05633539848152513];75.86;[2, 3, 4, 5];[0.5284743991640544, 0.5284743991640544, 0.5284743991640544, 0.5284743991640544];75.86;[2, 3, 4, 5];[0.05633539848152513, 0.05633539848152513, 0.05633539848152513, 0.05633539848152513];75.86;[2, 3, 4, 5, 6];[0.5284743991640544, 0.5284743991640544, 0.5284743991640544, 0.5284743991640544, 0.5284743991640544];75.86;[2, 3, 4, 5, 6];[0.05633539848152513, 0.05633539848152513, 0.05633539848152513, 0.05633539848152513, 0.05633539848152513];75.86
11;[4, 5];[0.5502040816326531, 0.5502040816326531];43.10;[4, 5];[0.07781042708060025, 0.07781042708060025];43.10;[4, 5, 6];[0.5502040816326531, 0.5502040816326531, 0.5502040816326531];43.10;[4, 5, 6];[0.07781042708060025, 0.07781042708060025, 0.07781042708060025];43.10;[4, 5, 6, 7];[0.5502040816326531, 0.5502040816326531, 0.5502040816326531, 0.5502040816326531];43.10;[4, 5, 6, 7];[0.07781042708060025, 0.07781042708060025, 0.07781042708060025, 0.07781042708060025];43.10;[4, 5, 6, 7, 8];[0.5502040816326531, 0.5502040816326531, 0.5502040816326531, 0.5502040816326531, 0.5502040816326531];43.10;[4, 5, 6, 7, 8];[0.07781042708060025, 0.07781042708060025, 0.07781042708060025, 0.07781042708060025, 0.07781042708060025];43.10
12;[32, 5];[0.7555555555555555, 0.7555555555555555];8.62;[32, 5];[0.23892777385624928, 0.23892777385624928];8.62;[32, 5, 41];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[32, 5, 41];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62;[32, 5, 41, 18];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[32, 5, 41, 18];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62;[32, 5, 41, 18, 19];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[32, 5, 41, 18, 19];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62
13;[32, 41];[1.1666666666666665, 1.1666666666666665];3.45;[32, 41];[0.5833334084877364, 0.5833334084877364];3.45;[32, 41];[1.1666666666666665, 1.1666666666666665];3.45;[32, 41];[0.5833334084877364, 0.5833334084877364];3.45;[32, 41];[1.1666666666666665, 1.1666666666666665];3.45;[32, 41];[0.5833334084877364, 0.5833334084877364];3.45;[32, 41];[1.1666666666666665, 1.1666666666666665];3.45;[32, 41];[0.5833334084877364, 0.5833334084877364];3.45
14;[32, 33];[0.7555555555555555, 0.7555555555555555];8.62;[32, 33];[0.23892777385624928, 0.23892777385624928];8.62;[32, 33, 6];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[32, 33, 6];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62;[32, 33, 6, 43];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[32, 33, 6, 43];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62;[32, 33, 6, 43, 44];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[32, 33, 6, 43, 44];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62
15;[32, 33];[0.5839080459770115, 0.5839080459770115];25.86;[32, 33];[0.10660642081073465, 0.10660642081073465];25.86;[32, 33, 34];[0.5839080459770115, 0.5839080459770115, 0.5839080459770115];25.86;[32, 33, 34];[0.10660642081073465, 0.10660642081073465, 0.10660642081073465];25.86;[32, 33, 34, 35];[0.5839080459770115, 0.5839080459770115, 0.5839080459770115, 0.5839080459770115];25.86;[32, 33, 34, 35];[0.10660642081073465, 0.10660642081073465, 0.10660642081073465, 0.10660642081073465];25.86;[32, 33, 34, 35, 6];[0.5839080459770115, 0.5839080459770115, 0.5839080459770115, 0.5839080459770115, 0.5839080459770115];25.86;[32, 33, 34, 35, 6];[0.10660642081073465, 0.10660642081073465, 0.10660642081073465, 0.10660642081073465, 0.10660642081073465];25.86
16;[36, 37];[0.5899470899470899, 0.5899470899470899];24.14;[36, 37];[0.11148964617001039, 0.11148964617001039];24.14;[36, 37, 38];[0.5899470899470899, 0.5899470899470899, 0.5899470899470899];24.14;[36, 37, 38];[0.11148964617001039, 0.11148964617001039, 0.11148964617001039];24.14;[36, 37, 38, 7];[0.5899470899470899, 0.5899470899470899, 0.5899470899470899, 0.5899470899470899];24.14;[36, 37, 38, 7];[0.11148964617001039, 0.11148964617001039, 0.11148964617001039, 0.11148964617001039];24.14;[36, 37, 38, 7, 8];[0.5899470899470899, 0.5899470899470899, 0.5899470899470899, 0.5899470899470899, 0.5899470899470899];24.14;[36, 37, 38, 7, 8];[0.11148964617001039, 0.11148964617001039, 0.11148964617001039, 0.11148964617001039, 0.11148964617001039];24.14
17;[1, 2];[4.0, 1.1666666666666665];5.17;[1, 2];[3.2659863237109046, 0.4762896722078401];5.17;[1, 2, 3];[4.0, 1.1666666666666665, 1.1666666666666665];5.17;[1, 2, 3];[3.2659863237109046, 0.4762896722078401, 0.4762896722078401];5.17;[1, 2, 3];[4.0, 1.1666666666666665, 1.1666666666666665];5.17;[1, 2, 3];[3.2659863237109046, 0.4762896722078401, 0.4762896722078401];5.17;[1, 2, 3];[4.0, 1.1666666666666665, 1.1666666666666665];5.17;[1, 2, 3];[3.2659863237109046, 0.4762896722078401, 0.4762896722078401];5.17
18;[2, 3];[0.7555555555555555, 0.7555555555555555];8.62;[2, 3];[0.23892777385624928, 0.23892777385624928];8.62;[2, 3, 4];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[2, 3, 4];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62;[2, 3, 4, 40];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[2, 3, 4, 40];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62;[2, 3, 4, 40, 20];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[2, 3, 4, 40, 20];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62
19;[32, 33];[0.605072463768116, 0.605072463768116];20.69;[32, 33];[0.12351004267761488, 0.12351004267761488];20.69;[32, 33, 34];[0.605072463768116, 0.605072463768116, 0.605072463768116];20.69;[32, 33, 34];[0.12351004267761488, 0.12351004267761488, 0.12351004267761488];20.69;[32, 33, 34, 5];[0.605072463768116, 0.605072463768116, 0.605072463768116, 0.605072463768116];20.69;[32, 33, 34, 5];[0.12351004267761488, 0.12351004267761488, 0.12351004267761488, 0.12351004267761488];20.69;[32, 33, 34, 5, 6];[0.605072463768116, 0.605072463768116, 0.605072463768116, 0.605072463768116, 0.605072463768116];20.69;[32, 33, 34, 5, 6];[0.12351004267761488, 0.12351004267761488, 0.12351004267761488, 0.12351004267761488, 0.12351004267761488];20.69
20;[32, 33];[0.6813186813186813, 0.6813186813186813];12.07;[32, 33];[0.18208996658198032, 0.18208996658198032];12.07;[32, 33, 34];[0.6813186813186813, 0.6813186813186813, 0.6813186813186813];12.07;[32, 33, 34];[0.18208996658198032, 0.18208996658198032, 0.18208996658198032];12.07;[32, 33, 34, 6];[0.6813186813186813, 0.6813186813186813, 0.6813186813186813, 0.6813186813186813];12.07;[32, 33, 34, 6];[0.18208996658198032, 0.18208996658198032, 0.18208996658198032, 0.18208996658198032];12.07;[32, 33, 34, 6, 42];[0.6813186813186813, 0.6813186813186813, 0.6813186813186813, 0.6813186813186813, 0.6813186813186813];12.07;[32, 33, 34, 6, 42];[0.18208996658198032, 0.18208996658198032, 0.18208996658198032, 0.18208996658198032, 0.18208996658198032];12.07
21;[43, 44];[0.9333333333333333, 0.9333333333333333];5.17;[43, 44];[0.38103168557587397, 0.38103168557587397];5.17;[43, 44, 6];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[43, 44, 6];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17;[43, 44, 6];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[43, 44, 6];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17;[43, 44, 6];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[43, 44, 6];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17
22;[6, 7];[0.6405228758169934, 0.6405228758169934];15.52;[6, 7];[0.15097254568625637, 0.15097254568625637];15.52;[6, 7, 8];[0.6405228758169934, 0.6405228758169934, 0.6405228758169934];15.52;[6, 7, 8];[0.15097254568625637, 0.15097254568625637, 0.15097254568625637];15.52;[6, 7, 8, 44];[0.6405228758169934, 0.6405228758169934, 0.6405228758169934, 0.6405228758169934];15.52;[6, 7, 8, 44];[0.15097254568625637, 0.15097254568625637, 0.15097254568625637, 0.15097254568625637];15.52;[6, 7, 8, 44, 45];[0.6405228758169934, 0.6405228758169934, 0.6405228758169934, 0.6405228758169934, 0.6405228758169934];15.52;[6, 7, 8, 44, 45];[0.15097254568625637, 0.15097254568625637, 0.15097254568625637, 0.15097254568625637, 0.15097254568625637];15.52
23;[6, 7];[0.7555555555555555, 0.7555555555555555];8.62;[6, 7];[0.23892777385624928, 0.23892777385624928];8.62;[6, 7, 8];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[6, 7, 8];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62;[6, 7, 8, 46];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[6, 7, 8, 46];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62;[6, 7, 8, 46, 47];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[6, 7, 8, 46, 47];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62
24;[8, 6];[0.9333333333333333, 0.9333333333333333];5.17;[8, 6];[0.38103168557587397, 0.38103168557587397];5.17;[8, 6, 7];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[8, 6, 7];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17;[8, 6, 7];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[8, 6, 7];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17;[8, 6, 7];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[8, 6, 7];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17
25;[6, 7];[0.6405228758169934, 0.6405228758169934];15.52;[6, 7];[0.15097254568625637, 0.15097254568625637];15.52;[6, 7, 8];[0.6405228758169934, 0.6405228758169934, 0.6405228758169934];15.52;[6, 7, 8];[0.15097254568625637, 0.15097254568625637, 0.15097254568625637];15.52;[6, 7, 8, 9];[0.6405228758169934, 0.6405228758169934, 0.6405228758169934, 0.6405228758169934];15.52;[6, 7, 8, 9];[0.15097254568625637, 0.15097254568625637, 0.15097254568625637, 0.15097254568625637];15.52;[6, 7, 8, 9, 10];[0.6405228758169934, 0.6405228758169934, 0.6405228758169934, 0.6405228758169934, 0.6405228758169934];15.52;[6, 7, 8, 9, 10];[0.15097254568625637, 0.15097254568625637, 0.15097254568625637, 0.15097254568625637, 0.15097254568625637];15.52
26;[32, 33];[0.5786290322580645, 0.5786290322580645];27.59;[32, 33];[0.10228795364026629, 0.10228795364026629];27.59;[32, 33, 34];[0.5786290322580645, 0.5786290322580645, 0.5786290322580645];27.59;[32, 33, 34];[0.10228795364026629, 0.10228795364026629, 0.10228795364026629];27.59;[32, 33, 34, 35];[0.5786290322580645, 0.5786290322580645, 0.5786290322580645, 0.5786290322580645];27.59;[32, 33, 34, 35];[0.10228795364026629, 0.10228795364026629, 0.10228795364026629, 0.10228795364026629];27.59;[32, 33, 34, 35, 6];[0.5786290322580645, 0.5786290322580645, 0.5786290322580645, 0.5786290322580645, 0.5786290322580645];27.59;[32, 33, 34, 35, 6];[0.10228795364026629, 0.10228795364026629, 0.10228795364026629, 0.10228795364026629, 0.10228795364026629];27.59
27;[6, 7];[0.5482654600301659, 0.5482654600301659];44.83;[6, 7];[0.07603089297340163, 0.07603089297340163];44.83;[6, 7, 8];[0.5482654600301659, 0.5482654600301659, 0.5482654600301659];44.83;[6, 7, 8];[0.07603089297340163, 0.07603089297340163, 0.07603089297340163];44.83;[6, 7, 8, 9];[0.5482654600301659, 0.5482654600301659, 0.5482654600301659, 0.5482654600301659];44.83;[6, 7, 8, 9];[0.07603089297340163, 0.07603089297340163, 0.07603089297340163, 0.07603089297340163];44.83;[6, 7, 8, 9, 10];[0.5482654600301659, 0.5482654600301659, 0.5482654600301659, 0.5482654600301659, 0.5482654600301659];44.83;[6, 7, 8, 9, 10];[0.07603089297340163, 0.07603089297340163, 0.07603089297340163, 0.07603089297340163, 0.07603089297340163];44.83
28;[10];[2.0];1.72;[10];[1.4142135623730951];1.72;[10];[2.0];1.72;[10];[1.4142135623730951];1.72;[10];[2.0];1.72;[10];[1.4142135623730951];1.72;[10];[2.0];1.72;[10];[1.4142135623730951];1.72
29;[50, 37];[0.9333333333333333, 0.9333333333333333];5.17;[50, 37];[0.38103168557587397, 0.38103168557587397];5.17;[50, 37, 38];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[50, 37, 38];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17;[50, 37, 38];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[50, 37, 38];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17;[50, 37, 38];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[50, 37, 38];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17
30;[38];[2.0];1.72;[38];[1.4142135623730951];1.72;[38];[2.0];1.72;[38];[1.4142135623730951];1.72;[38];[2.0];1.72;[38];[1.4142135623730951];1.72;[38];[2.0];1.72;[38];[1.4142135623730951];1.72
31;[2, 3];[0.5245583381867599, 0.5245583381867599];87.93;[2, 3];[0.05193917569718933, 0.05193917569718933];87.93;[2, 3, 4];[0.5245583381867599, 0.5245583381867599, 0.5245583381867599];87.93;[2, 3, 4];[0.05193917569718933, 0.05193917569718933, 0.05193917569718933];87.93;[2, 3, 4, 5];[0.5245583381867599, 0.5245583381867599, 0.5245583381867599, 0.5245583381867599];87.93;[2, 3, 4, 5];[0.05193917569718933, 0.05193917569718933, 0.05193917569718933, 0.05193917569718933];87.93;[2, 3, 4, 5, 6];[0.5245583381867599, 0.5245583381867599, 0.5245583381867599, 0.5245583381867599, 0.5245583381867599];87.93;[2, 3, 4, 5, 6];[0.05193917569718933, 0.05193917569718933, 0.05193917569718933, 0.05193917569718933, 0.05193917569718933];87.93
32;[6, 7];[0.546470999301188, 0.546470999301188];46.55;[6, 7];[0.07436515308506401, 0.07436515308506401];46.55;[6, 7, 8];[0.546470999301188, 0.546470999301188, 0.546470999301188];46.55;[6, 7, 8];[0.07436515308506401, 0.07436515308506401, 0.07436515308506401];46.55;[6, 7, 8, 9];[0.546470999301188, 0.546470999301188, 0.546470999301188, 0.546470999301188];46.55;[6, 7, 8, 9];[0.07436515308506401, 0.07436515308506401, 0.07436515308506401, 0.07436515308506401];46.55;[6, 7, 8, 9, 10];[0.546470999301188, 0.546470999301188, 0.546470999301188, 0.546470999301188, 0.546470999301188];46.55;[6, 7, 8, 9, 10];[0.07436515308506401, 0.07436515308506401, 0.07436515308506401, 0.07436515308506401, 0.07436515308506401];46.55
33;[37, 38];[0.5839080459770115, 0.5839080459770115];25.86;[37, 38];[0.10660642081073465, 0.10660642081073465];25.86;[37, 38, 8];[0.5839080459770115, 0.5839080459770115, 0.5839080459770115];25.86;[37, 38, 8];[0.10660642081073465, 0.10660642081073465, 0.10660642081073465];25.86;[37, 38, 8, 9];[0.5839080459770115, 0.5839080459770115, 0.5839080459770115, 0.5839080459770115];25.86;[37, 38, 8, 9];[0.10660642081073465, 0.10660642081073465, 0.10660642081073465, 0.10660642081073465];25.86;[37, 38, 8, 9, 10];[0.5839080459770115, 0.5839080459770115, 0.5839080459770115, 0.5839080459770115, 0.5839080459770115];25.86;[37, 38, 8, 9, 10];[0.10660642081073465, 0.10660642081073465, 0.10660642081073465, 0.10660642081073465, 0.10660642081073465];25.86
34;[8, 9];[0.566145092460882, 0.566145092460882];32.76;[8, 9];[0.09184098156864046, 0.09184098156864046];32.76;[8, 9, 10];[0.566145092460882, 0.566145092460882, 0.566145092460882];32.76;[8, 9, 10];[0.09184098156864046, 0.09184098156864046, 0.09184098156864046];32.76;[8, 9, 10, 23];[0.566145092460882, 0.566145092460882, 0.566145092460882, 0.566145092460882];32.76;[8, 9, 10, 23];[0.09184098156864046, 0.09184098156864046, 0.09184098156864046, 0.09184098156864046];32.76;[8, 9, 10, 23, 24];[0.566145092460882, 0.566145092460882, 0.566145092460882, 0.566145092460882, 0.566145092460882];32.76;[8, 9, 10, 23, 24];[0.09184098156864046, 0.09184098156864046, 0.09184098156864046, 0.09184098156864046, 0.09184098156864046];32.76
35;[56, 55];[1.1666666666666665, 1.1666666666666665];3.45;[56, 55];[0.5833334084877364, 0.5833334084877364];3.45;[56, 55];[1.1666666666666665, 1.1666666666666665];3.45;[56, 55];[0.5833334084877364, 0.5833334084877364];3.45;[56, 55];[1.1666666666666665, 1.1666666666666665];3.45;[56, 55];[0.5833334084877364, 0.5833334084877364];3.45;[56, 55];[1.1666666666666665, 1.1666666666666665];3.45;[56, 55];[0.5833334084877364, 0.5833334084877364];3.45
36;[39, 11];[0.7555555555555555, 0.7555555555555555];8.62;[39, 11];[0.23892777385624928, 0.23892777385624928];8.62;[39, 11, 12];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[39, 11, 12];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62;[39, 11, 12, 56];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[39, 11, 12, 56];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62;[39, 11, 12, 56, 57];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[39, 11, 12, 56, 57];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62
37;[1, 2];[3.0350877192982457, 0.5219686384101847];100.00;[1, 2];[2.215913606267942, 0.04724380936476929];100.00;[1, 2, 3];[3.0350877192982457, 0.5219686384101847, 0.5219686384101847];100.00;[1, 2, 3];[2.215913606267942, 0.04724380936476929, 0.04724380936476929];100.00;[1, 2, 3, 4];[3.0350877192982457, 0.5219686384101847, 0.5219686384101847, 0.5219686384101847];100.00;[1, 2, 3, 4];[2.215913606267942, 0.04724380936476929, 0.04724380936476929, 0.04724380936476929];100.00;[1, 2, 3, 4, 5];[3.0350877192982457, 0.5219686384101847, 0.5219686384101847, 0.5219686384101847, 0.5219686384101847];100.00;[1, 2, 3, 4, 5];[2.215913606267942, 0.04724380936476929, 0.04724380936476929, 0.04724380936476929, 0.04724380936476929];100.00
